id,user_id,applicant_id,rating,add_timestamp
209,32,9,80,9/7/23 6:26
212,14,6,10,9/7/23 6:26
213,16,6,65,9/7/23 6:26
214,6,11,95,9/7/23 6:26
215,40,5,100,9/7/23 6:26
216,23,10,75,9/7/23 6:26
217,29,1,100,9/7/23 6:26
218,26,4,55,9/7/23 6:27
219,17,11,100,9/7/23 6:27
220,12,6,56,9/7/23 6:27
221,14,2,18,9/7/23 6:27
222,26,1,80,9/7/23 6:28
223,25,11,94,9/7/23 6:28
224,21,10,18,9/7/23 6:28
225,40,11,100,9/7/23 6:28
227,6,10,35,9/7/23 6:28
228,23,11,95,9/7/23 6:28
229,32,11,100,9/7/23 6:28
230,15,6,52,9/7/23 6:29
232,40,6,19,9/7/23 6:29
233,17,9,91,9/7/23 6:29
234,37,8,90,9/7/23 6:29
235,26,9,75,9/7/23 6:29
236,30,5,100,9/7/23 6:29
237,6,3,90,9/7/23 6:30
239,23,6,63,9/7/23 6:30
240,40,9,100,9/7/23 6:30
241,16,2,70,9/7/23 6:31
242,25,8,53,9/7/23 6:31
243,34,7,100,9/7/23 6:31
244,32,7,80,9/7/23 6:31
245,12,8,81,9/7/23 6:31
246,29,5,86,9/7/23 6:31
247,42,5,45,9/7/23 6:31
249,40,7,100,9/7/23 6:31
250,23,5,90,9/7/23 6:31
251,26,6,45,9/7/23 6:32
252,17,6,79,9/7/23 6:32
253,40,12,31,9/7/23 6:32
254,41,12,59,9/7/23 6:32
255,8,10,3,9/7/23 6:33
257,23,3,91,9/7/23 6:33
258,25,12,44,9/7/23 6:33
260,40,1,100,9/7/23 6:33
261,30,9,100,9/7/23 6:33
262,26,7,70,9/7/23 6:33
263,28,8,92,9/7/23 6:34
264,38,2,60,9/7/23 6:34
265,34,2,55,9/7/23 6:34
266,40,2,35,9/7/23 6:34
267,24,1,45,9/7/23 6:34
268,28,9,92,9/7/23 6:35
269,29,2,10,9/7/23 6:35
270,17,12,73,9/7/23 6:35
272,40,3,100,9/7/23 6:35
273,43,12,60,9/7/23 6:35
274,16,5,90,9/7/23 6:35
275,44,9,91,9/7/23 6:36
276,25,1,90,9/7/23 6:36
277,40,10,50,9/7/23 6:36
278,26,8,60,9/7/23 6:36
279,37,12,91,9/7/23 6:36
280,40,4,34,9/7/23 6:37
281,15,4,64,9/7/23 6:37
282,28,2,64,9/7/23 6:37
283,29,8,84,9/7/23 6:37
286,30,7,100,9/7/23 6:37
287,17,5,98,9/7/23 6:37
