user_id,applicant_id,total_before,total_after,total_change
20,5,0.6509166666666666,0.6509166666666666,0.0
20,6,0.5363333333333333,0.5363333333333333,0.0
20,7,0.21488333333333332,0.21488333333333332,0.0
20,8,0.9240999999999999,0.9240999999999999,0.0
20,9,0.5967,0.5967,0.0
20,10,0.5862,0.5862,0.0
20,11,0.5304166666666666,0.5304166666666666,0.0
20,12,0.6099666666666667,0.6099666666666667,0.0
17,1,2.2963666666666667,2.2963666666666667,0.0
17,2,5.139116666666666,5.139116666666666,0.0
17,3,1.7652166666666667,1.7652166666666667,0.0
17,4,7.782383333333332,7.782383333333332,0.0
17,5,2.4329,2.4329,0.0
17,6,2.8026,2.8026,0.0
17,7,4.009466666666667,4.009466666666667,0.0
17,8,4.5657000000000005,4.5657000000000005,0.0
17,9,2.3567833333333335,2.3567833333333335,0.0
